pop,age,lx
KS,63,83102
KS,64,81865
KS,65,80700
KS,66,79371
KS,67,77961
KS,68,76593
KS,69,74993
KS,70,73587
KS,71,71920
KS,72,70160
KS,73,68414
KS,74,66532
KS,75,64443
KS,76,62202
KS,77,60077
KS,78,57402
KS,79,54655
KS,80,51766
KS,81,48822
KS,82,45749
KS,83,42530
KS,84,39347
KS,85,36179
KS,86,32917
KS,87,29676
KS,88,26230
KS,89,22941
KS,90,19783
KS,91,16649
KS,92,13831
KS,93,11240
KS,94,8893
KS,95,6819
KS,96,5160
KS,97,3801
KS,98,2722
KS,99,1892
KS,100,1275
KY,0,100000
KY,1,99421
KY,2,99358
KY,3,99312
KY,4,99287
KY,5,99256
KY,6,99242
KY,7,99222
KY,8,99207
KY,9,99191
KY,10,99186
KY,11,99173
KY,12,99147
