Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2001:Q4,age70plus,20.2,17.8,18,12.3,19.6,11.8,14.3,27.5,3.9,3.1,3.4,19.9
2001:Q4,age55to69,34.7,32.2,26.4,25.9,38.6,34.6,39.1,31,17.4,17.1,14.8,36.6
2001:Q4,age40to54,36.3,37.5,38.8,38.9,33.3,44.6,38.4,29.4,44.6,46.8,39.4,38.5
2001:Q4,ageunder40,8.8,12.5,16.9,22.9,8.5,8.9,8.2,12.1,34.1,32.9,42.4,5
2002:Q1,age70plus,20.3,18,18.3,12.7,19.6,11.9,14.5,27.8,4.2,3.4,3.6,20
2002:Q1,age55to69,34.9,32.4,26.6,26,38.7,35.3,38.8,31.4,18,17.8,15.2,36.8
2002:Q1,age40to54,36,37.3,38.3,38.6,33.5,44,38.3,29.2,44.3,46.5,38.9,38.4
2002:Q1,ageunder40,8.7,12.4,16.8,22.7,8.2,8.7,8.4,11.7,33.6,32.3,42.3,4.8
2002:Q2,age70plus,21,18.5,18.5,13.8,20.5,12.5,16.1,27.6,4.4,3.6,4.5,19.5
2002:Q2,age55to69,34.8,32.3,27,25.9,37.2,35.8,36.6,32.9,18,18.4,13.9,36.4
2002:Q2,age40to54,36.2,37.4,37.8,38.3,34.1,43.5,38.5,30.7,44.4,46,40.5,39.8
2002:Q2,ageunder40,8,11.8,16.7,22,8.1,8.3,8.8,8.8,33.2,32,41.1,4.3
2002:Q3,age70plus,21.9,19.1,17.8,14.9,22.2,13.1,17.7,29,4.4,3.4,5.4,19.2
2002:Q3,age55to69,34.5,31.8,27.4,25.9,34.4,36.3,34.4,32.8,17.3,18,12.5,36.2
2002:Q3,age40to54,35.8,37.3,38,37.9,35.1,42.9,38.8,29.5,45.3,46.5,42.3,40.7
2002:Q3,ageunder40,7.9,11.9,16.8,21.2,8.3,7.8,9.2,8.7,33,32.1,39.8,3.9
2002:Q4,age70plus,21.7,18.9,17.3,15,21.4,13.2,16.9,29.6,4.4,3.3,5.5,19.2
2002:Q4,age55to69,34.9,32.2,27.8,26.3,35.5,37,35,32.1,17.4,17.9,13.5,37.6
2002:Q4,age40to54,35.3,36.9,37.9,37.5,35.1,42.2,38.8,28.4,45.3,46.9,41.2,39.5
2002:Q4,ageunder40,8.1,12,17,21.2,8,7.6,9.3,9.8,32.9,31.9,39.8,3.7
2003:Q1,age70plus,22.1,19.3,17.8,15.5,22.1,13.4,17.3,29.8,4.5,3.4,5.7,20.2
2003:Q1,age55to69,35,32.3,28,26.4,34.5,37.7,34.4,32.8,18.1,18.4,13.9,39.4
2003:Q1,age40to54,35,36.5,37.3,37.1,35.5,41.5,38.7,28.2,44.5,45.9,41.1,36.8
2003:Q1,ageunder40,7.9,11.9,16.9,20.9,7.8,7.4,9.6,9.2,33,32.3,39.3,3.5
2003:Q2,age70plus,21.8,19,17.8,15.3,21.1,13.3,16.5,29.7,4.7,3.4,5.5,23.6
2003:Q2,age55to69,35.8,33.1,28.3,26.9,36.7,38.5,35.6,33.2,19.1,18.7,15.4,45.9
2003:Q2,age40to54,34.7,36.1,37,36.6,34.9,40.8,38.2,28.1,43.4,45.7,39.4,26.8
2003:Q2,ageunder40,7.7,11.8,16.9,21.1,7.3,7.5,9.7,9.1,32.7,32.2,39.7,3.7
2003:Q3,age70plus,21.6,18.8,17.2,15.6,20.6,13.4,16.2,30,4.8,3.5,5.8,23.1
2003:Q3,age55to69,36.4,33.5,28.6,27.3,37.5,39.2,35.7,33.2,19,18.6,15.8,46
2003:Q3,age40to54,34.3,35.9,37.1,36.2,34.9,40.1,38.1,27.7,44.2,46.7,38.9,27.4
2003:Q3,ageunder40,7.8,11.8,17.1,20.9,7.1,7.3,9.9,9.1,32.1,31.3,39.5,3.6
2003:Q4,age70plus,21.3,18.6,16.9,15.4,19.7,13.3,15.4,30.5,4.6,3.4,5.7,22.3
2003:Q4,age55to69,37.1,34.2,29,27.8,39.1,40,36.8,32.5,19,18.4,17,42.3
